Player ,Position,Team,Year ,ConfStanding,era ,w,l ,app,gs ,cg ,isho ,csho,sv ,ip ,h ,r ,er ,bb ,so ,2b ,3b ,hr ,ab ,bavg ,wp ,hbp ,bk ,1stTeam ,2ndTeam
Hernandez,P,CSUP,2009,3,6.47,3,4,32,3,1,0,1,7,64,74,55,46,38,67,21,1,4,257,0.288,15,7,0,No,Yes
Mattivi,P,CSUP,2009,3,5.47,9,6,18,15,2,0,1,1,97,105,74,59,51,76,14,3,16,391,0.269,14,8,1,Yes,No
McDonald,P,CSUP,2009,3,10.74,1,1,20,0,0,0,0,0,29.1,37,36,35,27,21,10,0,2,116,0.319,9,3,2,No,No
Meaney,P,CSUP,2009,3,5.81,7,1,10,8,3,0,0,0,62,81,46,40,24,36,18,1,4,255,0.318,6,6,0,No,No
Oliver,P,CSUP,2009,3,11.78,0,1,18,0,0,0,0,0,18.1,32,24,24,8,14,10,0,4,83,0.386,1,7,0,No,No
Perlitsh,P,CSUP,2009,3,1.64,2,1,7,1,0,0,0,0,11,14,4,2,5,5,1,0,0,43,0.326,1,2,1,No,No
Salazar,P,CSUP,2009,3,27,0,0,1,0,0,0,0,0,0.1,3,2,1,0,0,2,0,0,5,0.600,0,0,0,No,No
Timmins,P,CSUP,2009,3,7.15,8,3,16,14,1,0,0,0,73,101,59,58,37,38,17,5,6,302,0.334,3,9,0,No,No
Urso,P,CSUP,2009,3,10.5,1,1,13,4,0,0,1,1,24,34,29,28,28,32,9,0,3,102,0.333,5,8,0,No,No
Veiga,P,CSUP,2009,3,36,0,0,1,0,0,0,0,0,1,6,4,4,0,2,1,0,1,9,0.667,0,0,0,No,No
Whitman,P,CSUP,2009,3,4.91,0,0,2,0,0,0,0,0,3.2,2,2,2,2,7,0,0,1,13,0.154,0,0,0,No,No
Wismann,P,CSUP,2009,3,0,0,0,1,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,2,0.000,0,0,0,No,No
Banuelos,P,CSUP,2010,5,11.12,0,0,8,0,0,0,0,0,5.2,10,9,7,2,7,1,0,2,26,0.385,1,2,0,No,No
Cole,P,CSUP,2010,5,6.23,2,1,13,6,0,0,0,0,43.1,56,43,30,17,23,9,0,6,184,0.304,7,6,0,No,No
Herback-South,P,CSUP,2010,5,5.28,6,2,10,10,1,1,1,0,44.1,48,29,26,12,44,6,1,2,171,0.281,2,6,1,No,No
Leddy,P,CSUP,2010,5,9.64,0,2,15,0,0,0,0,1,14,18,17,15,17,13,5,1,2,55,0.327,4,1,1,No,No
Manos,P,CSUP,2010,5,4.32,0,1,2,2,0,0,0,0,8.1,9,4,4,4,3,4,1,1,33,0.273,1,1,1,No,No
McDonals,P,CSUP,2010,5,8,2,3,13,5,0,0,0,1,27,35,25,24,15,22,5,2,3,107,0.327,2,6,1,No,No
Meaney,P,CSUP,2010,5,9.11,3,5,16,9,1,0,0,0,52.1,82,63,53,35,40,20,3,5,236,0.347,3,5,1,No,No
